social_media_hours,study_hours,sleep_hours,group_preference,productivity_score,creativity_score,leadership_score,decision_speed,consistency_score,label
1.9356383072911756,6.359887455172993,6.197348507366389,3,9,4,5,7,7,Leader
1.3698893991137435,5.8692495126202715,7.8970974347217515,3,8,6,6,6,6,Analytical
2.5896437832655783,8.941215329149141,6.415054559107152,3,9,6,5,6,8,Creative
1.9247869253962935,6.898484154634923,6.983453578329939,3,8,6,4,7,6,Independent
3.4012779967731177,6.047851355557157,6.730678527221401,5,7,7,8,6,6,Independent
1.670787515558358,8.852890157762445,6.030386186724541,1,6,6,4,7,7,Creative
3.5729227918915103,6.305452739425858,6.801885246229514,4,6,7,3,7,7,Leader
3.960078941071485,5.491883234118507,6.5778272810691165,2,6,4,6,8,8,Independent
2.8759139806418434,8.133690903766459,7.530644964702895,3,8,6,5,7,8,Leader
3.6478463725517374,5.3879150500643815,6.139267090288113,1,6,5,4,6,9,Creative
2.14772111744682,6.228994206474182,6.733101876333181,1,8,6,6,7,8,Analytical
2.9662213696437596,5.092652224320908,6.101953526937352,3,8,4,4,8,8,Leader
2.7680650038717953,6.359992892975772,8.174738239873319,3,4,8,3,6,5,Analytical
2.12825078522722,3.33280726603574,6.880188434357354,2,6,9,6,4,6,Analytical
3.0284490352670943,7.715383903505018,6.282714486264208,1,8,5,5,6,8,Creative
1.5636925598332052,6.261342732172295,6.101200169809356,3,9,5,4,6,7,Creative
3.6538630668406404,3.8248108636071154,8.629681472366153,4,6,7,5,4,5,Analytical
3.3519620760680664,6.677558446667886,7.250200295678956,3,7,4,4,7,9,Analytical
2.539549251270336,5.777790577726755,6.232990298906737,1,7,6,4,8,7,Independent
1.3388296252335206,5.348717871327325,7.797693618384639,3,9,5,4,8,9,Independent
2.1055344720221534,6.164788648338793,6.775949586477902,4,7,7,4,7,7,Creative
2.9203436336800075,4.023923035371989,6.096054159958353,4,7,9,6,7,4,Leader
1.6749442467214364,4.164834782966185,7.351477329307084,1,8,5,5,8,6,Analytical
5.812306357432085,4.693700926587339,6.517323237879692,2,7,7,3,7,7,Leader
5.2063506432265365,6.937843831895462,7.437638087347055,3,6,7,7,8,8,Analytical
1.5429308581284693,8.417540373478317,7.2306946411200865,2,7,7,4,8,8,Creative
2.1666934919204186,5.225030705623618,6.270481571249112,2,7,4,5,8,7,Leader
1.5504496130800693,6.413719433979068,6.11302188184904,2,8,4,5,7,8,Creative
4.7605216730952025,4.011841977830516,7.366721589746725,3,7,5,9,8,8,Analytical
4.355744090250191,5.082621414936446,8.226603027363398,4,7,9,3,4,4,Creative
6.790091922204952,3.1650789894984874,7.837705711766208,5,6,7,8,9,6,Leader
5.450700651782903,4.773281283090794,7.7575891515837645,3,5,9,6,4,6,Independent
1.2029732094742325,4.509484617976799,6.224315101731737,1,8,4,6,8,6,Creative
4.2087641077122075,3.2687407860956053,6.50541571941825,3,7,7,9,7,7,Leader
4.365236961959574,6.866459969056857,7.188318715759303,3,7,6,9,6,6,Creative
2.7706920006072613,6.443895587760107,6.228955183316585,3,6,4,4,7,7,Creative
3.036662011566355,5.9471903418247205,6.209906408616817,2,9,4,5,6,9,Independent
4.110058079554179,4.336861173483039,6.623665062314991,4,6,9,4,6,4,Leader
6.410946982927726,5.58187370207267,6.08954474503619,5,6,5,7,6,8,Leader
2.8274836391186207,6.437454846097016,7.453046943827033,2,7,5,6,8,7,Leader
4.768414984831116,5.620929938305377,6.680634808596383,4,8,5,9,9,7,Analytical
4.180333651439561,5.645864821294607,8.709820866716743,2,4,8,4,7,5,Creative
2.39168206132128,4.833369071684045,7.215292766522944,2,9,4,4,8,7,Independent
3.607524572209262,7.120249820206929,7.169951156195109,1,6,5,6,6,8,Leader
2.293255653577054,7.726744010034782,6.86159610572755,2,8,4,5,7,6,Independent
1.2319563785734229,5.8242709215891955,7.636769112718903,2,9,4,6,6,7,Analytical
5.870588370931235,6.984587323733354,6.349633829995898,3,5,9,5,7,6,Analytical
2.74651138052882,6.383532227811827,7.5522887944186925,3,7,5,5,8,7,Independent
3.398611392758547,8.30053070677119,6.46601246697036,3,8,5,5,7,7,Leader
1.6924351940798474,7.68133424668907,7.1498251683558,1,9,4,6,8,7,Independent
5.610168459371812,3.2932232724548793,8.682546475849714,2,5,7,4,6,6,Leader
1.8266674461157182,7.83016682155656,6.810704068044347,2,8,4,5,7,7,Leader
2.8404194159175287,6.452402946536042,8.242965852411547,3,9,5,4,6,9,Analytical
4.518690607439549,6.947654856872849,7.194129522312287,2,5,7,5,7,6,Independent
2.9761529161810665,7.129167503805817,6.258162522187621,2,6,6,6,6,7,Analytical
1.0599187977340843,7.346406949618242,7.138487263119852,2,7,4,6,6,7,Creative
5.206349835792984,3.4628495770540884,6.803431839370775,3,7,7,9,7,6,Analytical
4.5331339293319814,6.242882691780699,6.134254301778714,4,7,7,3,7,5,Leader
2.8222862827634527,4.6408190175821815,7.557110919823077,3,7,5,4,6,8,Independent
2.861661236887417,6.022212117291542,6.596149907618523,1,9,6,4,8,6,Creative
3.5510743157186098,7.9226167662501545,7.95248206587315,3,8,6,5,8,8,Creative
1.2694663882768142,6.02732015090074,6.231291552957736,2,7,7,6,8,9,Creative
5.0605506938444025,5.917007892513658,6.071421898056286,4,8,6,7,6,8,Creative
1.6923929646839693,6.824495791663293,6.787387906795018,2,8,5,6,8,6,Independent
5.184218369746258,6.3668230608917895,6.34020249237634,5,6,7,7,6,6,Leader
2.6211064127093224,6.156975157408521,7.075522893586001,4,6,8,4,7,5,Creative
1.058627751910175,4.493771813554164,6.491279619322178,3,7,4,6,6,6,Leader
3.803299116260324,7.756350614992918,8.058183031700075,3,6,7,6,7,9,Analytical
4.4522892395308595,3.223862229048028,7.5193833563012396,4,4,8,3,5,4,Leader
3.3129015398636827,6.975182385457563,7.306832073454985,3,7,5,4,8,9,Creative
3.0826984238611574,3.116682674296298,7.815304866711452,3,7,9,5,6,4,Analytical
1.2871936218578295,7.761509243346639,7.291806919321536,1,7,4,5,6,7,Analytical
